step,total_samples,exp_samples,noexp_samples,overall_mean,exp_mean,noexp_mean,overall_std,exp_std,noexp_std,overall_median,exp_median,noexp_median,exp_minus_noexp,relative_gain,better_flag,exp_ratio
35,256,128,128,0.58203125,0.5546875,0.609375,0.4941911345329663,0.4989531363599838,0.48980753089640694,1.0,1.0,1.0,-0.0546875,-0.08974358974358974,noexp_better,0.5
36,256,128,128,0.7265625,0.6953125,0.7578125,0.4465966070311828,0.4620835004815935,0.4300905187640256,1.0,1.0,1.0,-0.0625,-0.08247422680412371,noexp_better,0.5
37,256,128,128,0.703125,0.71875,0.6875,0.4577759534198053,0.4513758494650716,0.4653336792785003,1.0,1.0,1.0,0.03125,0.045454545454545456,exp_better,0.5
38,256,128,128,0.71484375,0.7109375,0.71875,0.45237323541258173,0.45510825483839257,0.4513758494650716,1.0,1.0,1.0,-0.0078125,-0.010869565217391304,noexp_better,0.5
39,256,128,128,0.69921875,0.703125,0.6953125,0.45949607414738897,0.4586762019853619,0.4620835004815935,1.0,1.0,1.0,0.0078125,0.011235955056179775,exp_better,0.5
40,256,128,128,0.75390625,0.7578125,0.75,0.4315775610205778,0.4300905187640256,0.43471413360133104,1.0,1.0,1.0,0.0078125,0.010416666666666666,exp_better,0.5
41,256,128,128,0.76953125,0.75,0.7890625,0.4219578259290199,0.43471413360133104,0.4095771537596912,1.0,1.0,1.0,-0.0390625,-0.04950495049504951,noexp_better,0.5
42,256,128,128,0.69140625,0.65625,0.7265625,0.46281785579972906,0.47682513013096267,0.4474748706268539,1.0,1.0,1.0,-0.0703125,-0.0967741935483871,noexp_better,0.5
43,256,128,128,0.67578125,0.671875,0.6796875,0.4689991168100719,0.4713755210973134,0.46843000888963815,1.0,1.0,1.0,-0.0078125,-0.011494252873563218,noexp_better,0.5
44,256,128,128,0.80078125,0.7890625,0.8125,0.40019526483955303,0.4095771537596912,0.39184602471712554,1.0,1.0,1.0,-0.0234375,-0.028846153846153848,noexp_better,0.5
45,256,128,128,0.734375,0.71875,0.75,0.4425306015783918,0.4513758494650716,0.43471413360133104,1.0,1.0,1.0,-0.03125,-0.041666666666666664,noexp_better,0.5
46,256,128,128,0.7109375,0.7109375,0.7109375,0.4542150091199144,0.45510825483839257,0.45510825483839257,1.0,1.0,1.0,0.0,0.0,tie,0.5
47,256,128,128,0.734375,0.7109375,0.7578125,0.4425306015783918,0.45510825483839257,0.4300905187640256,1.0,1.0,1.0,-0.046875,-0.061855670103092786,noexp_better,0.5
48,256,128,128,0.76171875,0.765625,0.7578125,0.42686657579320003,0.4252720296617195,0.4300905187640256,1.0,1.0,1.0,0.0078125,0.010309278350515464,exp_better,0.5
49,256,128,128,0.79296875,0.7890625,0.796875,0.40597181274701577,0.4095771537596912,0.4039056372217743,1.0,1.0,1.0,-0.0078125,-0.00980392156862745,noexp_better,0.5
50,256,128,128,0.6796875,0.6796875,0.6796875,0.4675106164255398,0.46843000888963815,0.46843000888963815,1.0,1.0,1.0,0.0,0.0,tie,0.5
51,256,128,128,0.85546875,0.8515625,0.859375,0.35231638939353094,0.3569301250570318,0.3490002594588752,1.0,1.0,1.0,-0.0078125,-0.00909090909090909,noexp_better,0.5
52,256,128,128,0.703125,0.6796875,0.7265625,0.4577759534198053,0.46843000888963815,0.4474748706268539,1.0,1.0,1.0,-0.046875,-0.06451612903225806,noexp_better,0.5
53,256,128,128,0.76953125,0.75,0.7890625,0.4219578259290199,0.43471413360133104,0.4095771537596912,1.0,1.0,1.0,-0.0390625,-0.04950495049504951,noexp_better,0.5
54,256,128,128,0.87109375,0.8828125,0.859375,0.3357525568208896,0.32290740609869234,0.3490002594588752,1.0,1.0,1.0,0.0234375,0.02727272727272727,exp_better,0.5
55,256,128,128,0.78125,0.765625,0.796875,0.414208434789757,0.4252720296617195,0.4039056372217743,1.0,1.0,1.0,-0.03125,-0.0392156862745098,noexp_better,0.5
56,256,128,128,0.83984375,0.828125,0.8515625,0.36746931978111064,0.37875417411488527,0.3569301250570318,1.0,1.0,1.0,-0.0234375,-0.027522935779816515,noexp_better,0.5
57,256,128,128,0.70703125,0.703125,0.7109375,0.4560157537268409,0.4586762019853619,0.45510825483839257,1.0,1.0,1.0,-0.0078125,-0.01098901098901099,noexp_better,0.5
58,256,128,128,0.7890625,0.7578125,0.8203125,0.4087732724081824,0.4300905187640256,0.3854355088676483,1.0,1.0,1.0,-0.0625,-0.0761904761904762,noexp_better,0.5
59,256,128,128,0.69140625,0.6796875,0.703125,0.46281785579972906,0.46843000888963815,0.4586762019853619,1.0,1.0,1.0,-0.0234375,-0.03333333333333333,noexp_better,0.5
60,256,128,128,0.87109375,0.8671875,0.875,0.3357525568208896,0.3407054688956916,0.3320184038158743,1.0,1.0,1.0,-0.0078125,-0.008928571428571428,noexp_better,0.5
61,256,128,128,0.77734375,0.765625,0.7890625,0.4168443248701733,0.4252720296617195,0.4095771537596912,1.0,1.0,1.0,-0.0234375,-0.0297029702970297,noexp_better,0.5
62,256,128,128,0.8125,0.796875,0.828125,0.39107694443752145,0.4039056372217743,0.37875417411488527,1.0,1.0,1.0,-0.03125,-0.03773584905660377,noexp_better,0.5
63,256,128,128,0.7734375,0.75,0.796875,0.4194271303183174,0.43471413360133104,0.4039056372217743,1.0,1.0,1.0,-0.046875,-0.058823529411764705,noexp_better,0.5
64,256,128,128,0.73828125,0.734375,0.7421875,0.44043135607239037,0.4434008690887529,0.43914902946350703,1.0,1.0,1.0,-0.0078125,-0.010526315789473684,noexp_better,0.5
65,256,128,128,0.80859375,0.7890625,0.828125,0.3941786882053545,0.4095771537596912,0.37875417411488527,1.0,1.0,1.0,-0.0390625,-0.04716981132075472,noexp_better,0.5
66,256,128,128,0.78125,0.78125,0.78125,0.414208434789757,0.41502300476984283,0.41502300476984283,1.0,1.0,1.0,0.0,0.0,tie,0.5
67,256,128,128,0.7890625,0.796875,0.78125,0.4087732724081824,0.4039056372217743,0.41502300476984283,1.0,1.0,1.0,0.015625,0.02,exp_better,0.5
68,256,128,128,0.8828125,0.8828125,0.8828125,0.3222736323648695,0.32290740609869234,0.32290740609869234,1.0,1.0,1.0,0.0,0.0,tie,0.5
69,256,128,128,0.6796875,0.671875,0.6875,0.4675106164255398,0.4713755210973134,0.4653336792785003,1.0,1.0,1.0,-0.015625,-0.022727272727272728,noexp_better,0.5
70,256,128,128,0.8125,0.8125,0.8125,0.39107694443752145,0.39184602471712554,0.39184602471712554,1.0,1.0,1.0,0.0,0.0,tie,0.5
71,256,128,128,0.87890625,0.8671875,0.890625,0.326875246035224,0.3407054688956916,0.3133354972840896,1.0,1.0,1.0,-0.0234375,-0.02631578947368421,noexp_better,0.5
72,256,128,128,0.7734375,0.7734375,0.7734375,0.4194271303183174,0.4202519632297096,0.4202519632297096,1.0,1.0,1.0,0.0,0.0,tie,0.5
73,256,128,128,0.86328125,0.859375,0.8671875,0.3442231592053814,0.3490002594588752,0.3407054688956916,1.0,1.0,1.0,-0.0078125,-0.009009009009009009,noexp_better,0.5
74,256,128,128,0.73046875,0.6953125,0.765625,0.4445854810944685,0.4620835004815935,0.4252720296617195,1.0,1.0,1.0,-0.0703125,-0.09183673469387756,noexp_better,0.5
75,256,128,128,0.86328125,0.859375,0.8671875,0.3442231592053814,0.3490002594588752,0.3407054688956916,1.0,1.0,1.0,-0.0078125,-0.009009009009009009,noexp_better,0.5
76,256,128,128,0.8125,0.7890625,0.8359375,0.39107694443752145,0.4095771537596912,0.3717874202104902,1.0,1.0,1.0,-0.046875,-0.056074766355140186,noexp_better,0.5
77,256,128,128,0.796875,0.796875,0.796875,0.4031128874149275,0.4039056372217743,0.4039056372217743,1.0,1.0,1.0,0.0,0.0,tie,0.5
78,256,128,128,0.8046875,0.7890625,0.8203125,0.3972176516031205,0.4095771537596912,0.3854355088676483,1.0,1.0,1.0,-0.03125,-0.0380952380952381,noexp_better,0.5
79,256,128,128,0.69921875,0.6875,0.7109375,0.45949607414738897,0.4653336792785003,0.45510825483839257,1.0,1.0,1.0,-0.0234375,-0.03296703296703297,noexp_better,0.5
80,256,128,128,0.86328125,0.8671875,0.859375,0.3442231592053814,0.3407054688956916,0.3490002594588752,1.0,1.0,1.0,0.0078125,0.00909090909090909,exp_better,0.5
81,256,128,128,0.84765625,0.828125,0.8671875,0.3600576955400996,0.37875417411488527,0.3407054688956916,1.0,1.0,1.0,-0.0390625,-0.04504504504504504,noexp_better,0.5
82,256,128,128,0.80078125,0.7734375,0.828125,0.40019526483955303,0.4202519632297096,0.37875417411488527,1.0,1.0,1.0,-0.0546875,-0.0660377358490566,noexp_better,0.5
83,256,128,128,0.73828125,0.7578125,0.71875,0.44043135607239037,0.4300905187640256,0.4513758494650716,1.0,1.0,1.0,0.0390625,0.05434782608695652,exp_better,0.5
