step,total_samples,exp_samples,noexp_samples,overall_mean,exp_mean,noexp_mean,overall_std,exp_std,noexp_std,overall_median,exp_median,noexp_median,exp_minus_noexp,relative_gain,better_flag,exp_ratio
33,0,0,0,,,,,,,,,,,,,
34,0,0,0,,,,,,,,,,,,,
35,0,0,0,,,,,,,,,,,,,
36,0,0,0,,,,,,,,,,,,,
37,0,0,0,,,,,,,,,,,,,
38,0,0,0,,,,,,,,,,,,,
39,0,0,0,,,,,,,,,,,,,
40,0,0,0,,,,,,,,,,,,,
41,256,128,128,0.7924999999999988,0.8028906250000006,0.7821093750000004,0.23541536091950913,0.23371748321137942,0.23756193504491302,0.85,0.865,0.85,0.020781250000000195,0.026570772150634536,exp_better,0.5
42,256,128,128,0.8048046874999992,0.8235156249999999,0.78609375,0.1963129777494171,0.15669112926441459,0.22830506726780614,0.85,0.85,0.85,0.03742187499999983,0.047604849930431105,exp_better,0.5
43,256,128,128,0.8377734374999988,0.8292968749999999,0.8462500000000001,0.18284066629842222,0.1974849085981401,0.16727082100311197,0.88,0.88,0.9,-0.016953125000000124,-0.020033234859675182,noexp_better,0.5
44,256,128,128,0.8060156249999986,0.8093749999999996,0.8026562499999998,0.21820781547711374,0.21273527966136324,0.2243327266452545,0.85,0.85,0.85,0.0067187499999997735,0.008370644344948133,exp_better,0.5
45,256,128,128,0.8269140624999988,0.826640625,0.8271875000000002,0.19833089907263762,0.19325344357792024,0.20404159487943846,0.85,0.85,0.85,-0.0005468750000001688,-0.0006611258027958215,noexp_better,0.5
46,256,128,128,0.8357812499999991,0.8263281250000002,0.8452343749999999,0.1879574811117726,0.19015481092031758,0.18599790382253764,0.9,0.88,0.9,-0.01890624999999968,-0.022368056197430073,noexp_better,0.5
47,256,128,128,0.8202734374999986,0.8240625,0.816484375,0.18903553830602082,0.19260108298074113,0.18608096554507927,0.85,0.875,0.85,0.007578124999999991,0.009281408477657628,exp_better,0.5
48,256,128,128,0.814999999999999,0.8039062499999999,0.82609375,0.16732497440257843,0.164509456325381,0.17001266453521102,0.85,0.85,0.85,-0.022187500000000027,-0.02685833175714019,noexp_better,0.5
