step,total_samples,exp_samples,noexp_samples,overall_mean,exp_mean,noexp_mean,overall_std,exp_std,noexp_std,overall_median,exp_median,noexp_median,exp_minus_noexp,relative_gain,better_flag,exp_ratio
31,256,128,128,0.6616015624999998,0.6772656250000002,0.6459375,0.4157348483762358,0.41661877595512475,0.4158918649205423,0.9,0.9,0.865,0.03132812500000015,0.048500241896468545,exp_better,0.5
32,256,128,128,0.6654687499999995,0.66953125,0.66140625,0.40862535576313547,0.40978361752146264,0.40903330317987097,0.85,0.85,0.85,0.008125000000000049,0.012284431845027241,exp_better,0.5
33,256,128,128,0.7287499999999997,0.7157031250000002,0.7417968750000001,0.35940473662137834,0.36310924061510574,0.3566078893712407,0.86,0.85,0.875,-0.026093749999999916,-0.03517640863612415,noexp_better,0.5
34,256,128,128,0.6461328124999997,0.6484374999999999,0.6438281249999999,0.41828347402761185,0.41960130589109446,0.4185974351881089,0.85,0.85,0.85,0.004609375000000027,0.007159325324596572,exp_better,0.5
35,256,128,128,0.7533203124999998,0.7692968750000005,0.7373437500000002,0.36630255219237423,0.35899286855757573,0.3741941143794494,0.9,0.9,0.9,0.03195312500000036,0.04333545242636199,exp_better,0.5
36,256,128,128,0.6567968749999993,0.6472656250000002,0.6663281250000002,0.40129776455063054,0.39958780896915713,0.4043442656784041,0.85,0.85,0.865,-0.019062499999999982,-0.02860827764098953,noexp_better,0.5
37,256,128,128,0.64671875,0.6289062500000002,0.6645312499999999,0.41803200810933316,0.4264673315067869,0.4103212863974597,0.85,0.85,0.88,-0.035624999999999685,-0.05360921702327722,noexp_better,0.5
38,256,128,128,0.6887499999999992,0.6880468750000001,0.689453125,0.39424288323366363,0.3969550612098034,0.3930705063754891,0.85,0.86,0.85,-0.0014062499999999423,-0.00203966005665714,noexp_better,0.5
39,256,128,128,0.7044921874999995,0.6968749999999999,0.712109375,0.38319059909246617,0.391459514102164,0.37612330936599125,0.85,0.85,0.85,-0.015234375000000133,-0.02139330773450375,noexp_better,0.5
40,256,128,128,0.6422265624999997,0.63859375,0.6458593749999999,0.417665927386362,0.41873024104282164,0.4182124075923301,0.85,0.85,0.87,-0.007265624999999942,-0.01124954638925841,noexp_better,0.5
41,256,128,128,0.7546874999999994,0.7766406250000001,0.7327343750000002,0.34417377621674505,0.3315182857244605,0.35632577070996035,0.925,0.95,0.9,0.043906249999999925,0.05992110033052553,exp_better,0.5
42,256,128,128,0.7907031249999994,0.8104687500000001,0.7709375000000002,0.34093914952153936,0.32522762319606835,0.35613727668206774,0.95,0.95,0.95,0.03953124999999991,0.05127685447912431,exp_better,0.5
43,256,128,128,0.7332421874999995,0.7500781250000003,0.7164062500000001,0.38255082442998184,0.37423201379309834,0.3914353445168281,0.91,0.9,0.925,0.03367187500000013,0.04700109051254107,exp_better,0.5
44,256,128,128,0.6971093749999998,0.7134374999999998,0.6807812500000001,0.41501552504624667,0.4107769429391013,0.4201867027375811,0.925,0.95,0.9,0.03265624999999972,0.04796878586183111,exp_better,0.5
45,256,128,128,0.7121484374999995,0.714765625,0.7095312500000002,0.3720569129949784,0.37119505843623546,0.3743568960629966,0.88,0.88,0.86,0.005234374999999791,0.007377229685091094,exp_better,0.5
46,256,128,128,0.7195703124999996,0.68265625,0.7564843750000003,0.3863060492203244,0.40136476699020607,0.36850963906612494,0.95,0.9,0.95,-0.07382812500000036,-0.09759372095425015,noexp_better,0.5
47,256,128,128,0.6940624999999995,0.7093749999999999,0.6787500000000002,0.37267751396048127,0.3723933023747115,0.3737930708861786,0.85,0.85,0.85,0.03062499999999968,0.04511970534069933,exp_better,0.5
48,256,128,128,0.7741406249999996,0.77234375,0.7759375000000002,0.3484059551138923,0.35549562690423,0.34255739791477535,0.935,0.9,0.95,-0.003593750000000173,-0.004631494160290194,noexp_better,0.5
49,256,128,128,0.7093749999999994,0.6915625,0.7271875,0.39750644340566305,0.40986158120520577,0.3855396820778542,0.885,0.88,0.925,-0.03562500000000002,-0.0489901160292222,noexp_better,0.5
50,256,128,128,0.7234765624999996,0.7135156250000003,0.7334375000000001,0.37566988981710536,0.3824940735349635,0.36995304554160896,0.88,0.9,0.875,-0.019921874999999756,-0.02716233489561108,noexp_better,0.5
51,256,128,128,0.6703124999999996,0.6829687500000002,0.6576562500000002,0.4274226222829293,0.4229468412363556,0.43314176249505526,0.95,0.95,0.925,0.02531250000000007,0.03848895224518898,exp_better,0.5
52,256,128,128,0.7849218749999994,0.7761718750000004,0.7936718750000002,0.3458663373101143,0.35862186146094965,0.33380382539513415,0.95,0.95,0.95,-0.01749999999999985,-0.02204941431243213,noexp_better,0.5
53,256,128,128,0.7280859374999995,0.7222656249999999,0.73390625,0.3664036245934203,0.366799769111267,0.3673553802433017,0.85,0.85,0.9,-0.011640625000000071,-0.01586118799233563,noexp_better,0.5
54,256,128,128,0.7464453124999996,0.738984375,0.7539062499999998,0.35597458178906816,0.36483377693589053,0.34816331215269347,0.95,0.9,0.95,-0.014921874999999751,-0.019792746113989314,noexp_better,0.5
55,256,128,128,0.7792187499999993,0.7646875,0.7937500000000002,0.32919059232977993,0.34607117173424284,0.3120821616025997,0.9,0.9,0.95,-0.029062500000000213,-0.036614173228346716,noexp_better,0.5
56,256,128,128,0.6891015624999995,0.6917187499999998,0.6864843750000003,0.396536442750123,0.39990374703141224,0.39469431976296493,0.85,0.85,0.85,0.005234374999999569,0.00762490042107596,exp_better,0.5
57,256,128,128,0.7109765624999994,0.6835937500000001,0.7383593749999998,0.39574231990305875,0.4108388468376209,0.3796802992982343,0.9,0.89,0.9,-0.05476562499999971,-0.07417204528621273,noexp_better,0.5
58,256,128,128,0.7282812499999997,0.7248437500000001,0.7317187500000002,0.4012844267803954,0.40409709672636496,0.4000100576983565,0.95,0.95,0.95,-0.0068750000000000755,-0.009395686525731469,noexp_better,0.5
59,256,128,128,0.7590234374999992,0.750859375,0.7671874999999999,0.35013194072965925,0.3609153440638243,0.34022905091513594,0.9299999999999999,0.95,0.9,-0.016328124999999916,-0.02128309572301415,noexp_better,0.5
60,256,128,128,0.7263281249999997,0.7373437500000001,0.7153125000000001,0.3918070175106467,0.38868541694596254,0.39612281858228615,0.95,0.95,0.945,0.022031249999999947,0.030799475753604113,exp_better,0.5
61,256,128,128,0.6928906249999996,0.68421875,0.7015625000000002,0.3841020132954878,0.3942731963327671,0.37500328082554324,0.85,0.85,0.85,-0.017343750000000213,-0.024721603563474685,noexp_better,0.5
62,256,128,128,0.6686328124999994,0.6450781250000001,0.6921875,0.4193721800846136,0.4308935891690753,0.40785194453553525,0.895,0.865,0.9,-0.0471093749999999,-0.06805869074492085,noexp_better,0.5
63,256,128,128,0.7976562499999992,0.7889062500000001,0.8064062499999999,0.2918876613746204,0.30435742139896954,0.2797854475371142,0.9,0.9,0.9,-0.017499999999999738,-0.021701220693663696,noexp_better,0.5
64,256,128,128,0.7152734374999996,0.71265625,0.7178906249999999,0.38606908281217156,0.3891672603085504,0.3844571842554,0.9,0.9,0.9,-0.005234374999999902,-0.007291326586135462,noexp_better,0.5
65,256,128,128,0.6861328124999994,0.6743750000000001,0.697890625,0.4107777008876804,0.4237863635014272,0.398662433613213,0.87,0.9,0.85,-0.02351562499999993,-0.03369528713757966,noexp_better,0.5
66,256,128,128,0.7586328124999997,0.742421875,0.7748437500000002,0.3960700150244532,0.4061006160840664,0.3866919756797626,1.0,1.0,1.0,-0.032421875000000155,-0.04184311353095401,noexp_better,0.5
67,256,128,128,0.7096484374999996,0.711796875,0.7075,0.40246918459252085,0.40342516521303595,0.4030845635277177,0.95,0.925,0.95,0.004296874999999978,0.006073321554770287,exp_better,0.5
68,256,127,129,0.7529687499999995,0.7543307086614173,0.7516279069767443,0.3719273793231631,0.3765456833752599,0.3687876902299157,0.95,0.95,0.95,0.002702801684672962,0.003595930459187418,exp_better,0.49609375
69,256,128,128,0.7680078124999996,0.779140625,0.7568749999999997,0.33566956198125303,0.33169577975174497,0.3405339716192375,0.9,0.9,0.9,0.02226562500000029,0.029417836498761746,exp_better,0.5
70,256,128,128,0.7484374999999992,0.7470312500000004,0.74984375,0.35947660754567745,0.3707756487323748,0.3492646591989438,0.9,0.9,0.86,-0.0028124999999996625,-0.003750781412793882,noexp_better,0.5
